player_name,format,country,matches_played,batting_innings,not_outs,runs_scored,highest_score,batting_average,balls_faced,batting_strike_rate,hundreds,fifties,overs_bowled,wickets,bowling_average,economy_rate,bowling_strike_rate,label
A C Gilchrist,t20i,Australia,13,0,1,272,48,22.67,192,141.67,0,0,0.0,0,22.67,0.0,0.0,Batsman
C Green*,t20i,Australia,28,0,4,638,62,29.0,420,151.9,0,6,38.5,14,25.0,9.09,16.5,Batsman
B J Haddin,t20i,Australia,34,0,6,402,47,17.48,351,114.53,0,0,0.0,0,17.48,0.0,0.0,Batsman
A M Hardie*,t20i,Australia,16,0,3,180,28,22.5,142,126.76,0,0,40.0,13,26.62,8.65,18.46,Bowler
J W Hastings,t20i,Australia,9,0,2,46,15,11.5,37,124.32,0,0,31.0,7,35.29,7.97,26.57,Bowler
M L Hayden,t20i,Australia,9,0,3,308,73,51.33,214,143.93,0,4,0.0,0,51.33,0.0,0.0,Batsman
J R Hazlewood*,t20i,Australia,60,0,9,29,13,9.67,28,103.57,0,0,224.7,79,21.32,7.5,17.06,Bowler
T M Head*,t20i,Australia,53,0,4,1335,91,28.4,852,156.69,0,6,6.0,1,56.0,9.33,36.0,Batsman
M C Henriques,t20i,Australia,24,0,4,355,62,20.88,285,124.56,0,2,23.0,7,27.86,8.48,19.71,Batsman
B W Hilfenhaus,t20i,Australia,7,0,1,2,2,1.0,10,20.0,0,0,26.0,9,17.89,6.19,17.33,Bowler
B J Hodge,t20i,Australia,15,0,4,183,36,26.14,144,127.08,0,0,5.0,1,43.0,8.6,30.0,Batsman
G B Hogg,t20i,Australia,15,0,0,55,41,13.75,39,141.03,0,0,49.0,7,53.29,7.61,42.0,Bowler
J R Hopes,t20i,Australia,12,0,2,105,30,21.0,98,107.14,0,0,37.0,10,28.4,7.68,22.2,Bowler
D J Hussey,t20i,Australia,39,0,3,756,88,22.91,623,121.35,0,3,60.2,19,20.63,6.52,19.0,Batsman
M E K Hussey,t20i,Australia,38,0,11,721,60,37.95,529,136.29,0,4,1.0,0,0.0,5.0,0.0,Batsman
J P Inglis*,t20i,Australia,46,0,7,1000,110,27.78,627,159.49,2,2,0.0,0,27.78,0.0,0.0,Batsman
M G Johnson,t20i,Australia,30,0,7,109,28,10.9,95,114.74,0,0,109.3,38,20.97,7.29,17.26,Bowler
S H Johnson*,t20i,Australia,8,0,0,0,0,0.0,1,0.0,0,0,26.7,14,17.07,8.96,11.43,Bowler
U T Khawaja*,t20i,Australia,9,0,0,241,58,26.78,182,132.42,0,1,0.0,0,26.78,0.0,0.0,Batsman
M P Kuhnemann*,t20i,Australia,8,0,1,7,5,3.5,13,53.85,0,0,27.0,3,73.33,8.15,54.0,Bowler
B Lee,t20i,Australia,25,0,6,101,43,16.83,71,142.25,0,0,90.8,28,25.5,7.86,19.46,Bowler
C A Lynn,t20i,Australia,18,0,1,291,44,19.4,221,131.67,0,0,0.0,0,19.4,0.0,0.0,Batsman
